Tool Category,Tool Name,Purpose/Use Cases,How It Works (Issues Noticed)
Dev Scripts,npm run lint,Run ESLint,Check code quality with ESLint. USE CASE: Code quality checks
Dev Scripts,npm run type-check,TypeScript type checking,Run TypeScript compiler without emitting files. USE CASE: Type safety validation
Dev Scripts,npm run db:seed,Seed database,Populate database with initial data (lib/seed.ts). USE CASE: Initial data setup. ISSUE: Creates default admin credentials, should change in production
Dev Scripts,npm run db:import-buddhaceo,Import Buddha CEO data,Import Buddha CEO content from scripts/import-buddhaceo-data.ts. USE CASE: Content migration
Dev Scripts,npm run db:import-about,Import about page data,Import about content from scripts/import-about-data.ts. USE CASE: About page content setup
Dev Scripts,npm run db:import-resources,Import resources data,Import resources from scripts/import-resources-data.ts. USE CASE: Resources content setup
Dev Scripts,npm run security:check,Security validation,Bash script for security validation (scripts/security-validation.sh). USE CASE: Pre-deployment security checks
Dev Scripts,npm run security:audit,NPM audit,Run npm audit with moderate level. USE CASE: Dependency vulnerability check
Dev Scripts,npm run security:fix,Fix security issues,Run npm audit fix. USE CASE: Automatic security patching
Dev Scripts,npm run pre-deploy,Pre-deployment checks,Bash script (scripts/pre-deploy.sh). USE CASE: Pre-deployment validation
Dev Scripts,npm run deploy,Watch and deploy,Bash script (scripts/watch-and-deploy.sh). USE CASE: Continuous deployment monitoring
GitHub Actions,ci-cd.yml,CI/CD pipeline,6-job pipeline: validate, theme-check, build, test, security, deploy. USE CASE: Automated testing and deployment. ISSUE: Jobs can be slow, theme-check script may need adjustment
GitHub Actions,security-validation.yml,Security scanning,Runs security validation script on push/PR. USE CASE: Security checks in CI
GitHub Actions,pr-validation.yml,PR validation,Validates pull requests with build and tests. USE CASE: PR quality checks
API Routes,/api/auth/[...nextauth],Authentication endpoint,NextAuth.js authentication handler. USE CASE: User login/logout
API Routes,/api/admin/content,Content management (admin),CRUD operations for content management. ISSUE: Requires admin/manager role
API Routes,/api/admin/content/[id]/approve,Approve content,Approve submitted content for publication. USE CASE: Content review workflow
API Routes,/api/admin/content/[id]/reject,Reject content,Reject submitted content. USE CASE: Content moderation
API Routes,/api/admin/upload,File upload,Handle file uploads to Vercel Blob. USE CASE: Image/file uploads. ISSUE: Requires BLOB_READ_WRITE_TOKEN
API Routes,/api/admin/users,User management (admin),Manage user accounts and roles. USE CASE: Admin user management
API Routes,/api/admin/stats,Dashboard statistics,Get dashboard stats including visitor analytics. USE CASE: Admin dashboard data
API Routes,/api/admin/activity-logs,Activity logs,Get filtered admin activity logs. USE CASE: Audit trail
API Routes,/api/tracking,Visitor tracking,Track page views and visitor sessions. USE CASE: Analytics. ISSUE: Logs IP addresses (privacy concern)
API Routes,/api/contact,Contact form,Handle contact form submissions. USE CASE: User inquiries
API Routes,/api/subscribers,Newsletter subscription,Handle newsletter subscriptions. USE CASE: Email list building
API Routes,/api/events/public,Public events,Get published events. USE CASE: Display events on website
API Routes,/api/resources/public,Public resources,Get published resources. USE CASE: Display resources on website
API Routes,/api/photos,Photos API,Get photo gallery images. USE CASE: Photo display
API Routes,/api/teacher-enrollment,Teacher enrollment,Handle teacher training enrollment. USE CASE: Education program signup
API Routes,/api/teacher-application,Teacher application,Handle teacher training applications. USE CASE: Application submission
API Routes,/api/volunteer-application,Volunteer application,Handle volunteer applications. USE CASE: Volunteer signup
Configuration,next.config.ts,Next.js configuration,Configure Next.js runtime, images, env vars. ISSUE: NEXTAUTH_URL fix needed for Vercel
Configuration,eslint.config.mjs,ESLint configuration,Configure ESLint rules for TypeScript/React. USE CASE: Code linting
Configuration,postcss.config.mjs,PostCSS configuration,Configure PostCSS and Tailwind. USE CASE: CSS processing
Configuration,.env.example,Environment variables template,Template for required environment variables. ISSUE: Contains default credentials that should be changed
Configuration,.claude/settings.local.json,Claude Code permissions,Configure allowed MCP tools and bash commands. USE CASE: Tool access control. ISSUE: Must be updated when adding new MCP tools
Security Scripts,scripts/security-validation.sh,Security validation,Bash script for security checks. USE CASE: Pre-deployment security
Security Scripts,scripts/security-validator.ts,Security validator (Node),TypeScript security validation. USE CASE: Security checks in Node environment
Utility Scripts,scripts/check-theme-consistency.sh,Theme consistency check,Verify theme classes are consistent. USE CASE: UI consistency validation. ISSUE: May need updates for new theme patterns
Utility Scripts,scripts/setup-ci-cd.sh,CI/CD setup,Initialize GitHub Actions workflows. USE CASE: Project setup
Utility Scripts,scripts/pre-deploy.sh,Pre-deployment checks,Run checks before deployment. USE CASE: Deployment safety
Utility Scripts,scripts/watch-and-deploy.sh,Watch and deploy,Monitor changes and auto-deploy. USE CASE: Continuous deployment
Database Models,User,User authentication model,Mongoose model for users with roles (admin, manager, reviewer). ISSUE: Default credentials in seed
Database Models,Content,Content management model,Store and manage CMS content with approval workflow. ISSUE: Draft/approved workflow complexity
Database Models,Event,Events model,Store meditation events and registrations. USE CASE: Event management
Database Models,Resource,Resources model,Store meditation resources (audio, video, articles). USE CASE: Resource library
Database Models,VisitorLog,Visitor tracking model,Track page views and sessions. USE CASE: Analytics. ISSUE: Privacy concerns with IP logging
Database Models,ActivityLog,Admin activity model,Log admin actions for audit. USE CASE: Security audit trail
Database Models,Subscriber,Newsletter model,Store email subscribers. USE CASE: Newsletter management
Database Models,ContactMessage,Contact form model,Store contact form submissions. USE CASE: User inquiries
Database Models,TeacherApplication,Teacher applications,Store teacher training applications. USE CASE: Education programs
Database Models,VolunteerApplication,Volunteer applications,Store volunteer applications. USE CASE: Volunteer management
UI Components,VisitorTracker,Analytics component,Auto-track page views across site. USE CASE: Visitor analytics. ISSUE: Privacy concern - tracks all visitors
UI Components,AdminLayout,Admin dashboard layout,Sidebar navigation with role-based menu. USE CASE: Admin UI structure
UI Components,DarkThemeUI,Dark theme components,Consistent dark theme across admin. USE CASE: Modern UI design
Features,Role-Based Access Control (RBAC),Permission system,Three-tier permission system (Admin, Content Manager, Content Reviewer). USE CASE: Access control. ISSUE: Complex permission management
Features,Visitor Analytics,Analytics dashboard,Track page views, unique visitors, top pages. USE CASE: Website analytics. ISSUE: GDPR compliance concerns
Features,Content Approval Workflow,Content moderation,Draft → Submitted → Approved/Published workflow. USE CASE: Content quality control. ISSUE: Multiple states can be confusing
Features,Dark Theme,UI theming,Modern dark theme with glassmorphism. USE CASE: User experience. ISSUE: Light theme not available
Features,Security Validation,Security checks,Comprehensive security validation system. USE CASE: Pre-deployment safety. ISSUE: Can be slow
Deployment,Vercel,Hosting platform,Deployed on Vercel with automatic previews. USE CASE: Production hosting. ISSUE: Environment variable management
Deployment,CI/CD,Continuous deployment,GitHub Actions for automated testing and deployment. USE CASE: DevOps automation. ISSUE: Pipeline can be slow
Documentation,docs/,Project documentation,Comprehensive project documentation. USE CASE: Knowledge base. ISSUE: Must be kept in sync with code
Testing,Playwright,E2E testing,End-to-end testing framework. USE CASE: Browser testing. ISSUE: Tests not yet implemented (optional in CI)
